603444.SH  吉比特 互联网  980 3year 当前价格：375.81 估计价格：1204.85
002415.SZ  海康威视 电器仪表  980 10year 当前价格：28.00 估计价格：68.46
300628.SZ  亿联网络 通信设备  980 3year 当前价格：84.02 估计价格：190.58
603288.SH  海天味业 食品  960 6year 当前价格：120.46 估计价格：54.83
000651.SZ  格力电器 家用电器  950 24year 当前价格：52.44 估计价格：155.60
002841.SZ  视源股份 元器件  930 3year 当前价格：80.10 估计价格：189.38
002508.SZ  老板电器 家用电器  910 10year 当前价格：29.26 估计价格：92.02
002120.SZ  韵达股份 仓储物流  890 13year 当前价格：31.44 估计价格：263.41
603868.SH  飞科电器 家用电器  890 4year 当前价格：36.95 估计价格：72.92
002236.SZ  大华股份 电器仪表  870 12year 当前价格：16.17 估计价格：69.39
002833.SZ  弘亚数控 专用机械  870 4year 当前价格：38.14 估计价格：87.39
000963.SZ  华东医药 化学制药  860 20year 当前价格：18.63 估计价格：35.83
002304.SZ  洋河股份 白酒  850 11year 当前价格：83.87 估计价格：156.77
300653.SZ  正海生物 医疗保健  840 3year 当前价格：79.46 估计价格：106.77
600887.SH  伊利股份 乳制品  840 24year 当前价格：29.49 估计价格：42.00
603387.SH  基蛋生物 生物制药  820 3year 当前价格：31.85 估计价格：126.82
000333.SZ  美的集团 家用电器  820 7year 当前价格：48.42 估计价格：133.34
300642.SZ  透景生命 医疗保健  810 3year 当前价格：47.30 估计价格：151.85
603579.SH  荣泰健康 医疗保健  810 3year 当前价格：31.40 估计价格：152.90
603380.SH  易德龙 元器件  800 3year 当前价格：16.84 估计价格：54.62
600309.SH  万华化学 化工原料  790 19year 当前价格：41.03 估计价格：104.06
600585.SH  海螺水泥 水泥  780 18year 当前价格：55.51 估计价格：204.46
300571.SZ  平治信息 互联网  770 4year 当前价格：52.08 估计价格：257.35
603103.SH  横店影视 影视音像  770 3year 当前价格：14.30 估计价格：76.68
002174.SZ  游族网络 互联网  750 13year 当前价格：22.00 估计价格：283.15
300482.SZ  万孚生物 生物制药  750 5year 当前价格：90.11 估计价格：63.64
603228.SH  景旺电子 元器件  750 3year 当前价格：46.25 估计价格：54.39
002372.SZ  伟星新材 其他建材  750 10year 当前价格：11.84 估计价格：17.28
